taxid	rank
1442373	species
145126	species
1665	species
40380	species
33178	species
5204	phylum
1853550	species
5482	species
31870	species
34028	species
6535	species
5499	species
4751	kingdom
104355	species
4922	species
644223	strain
460519	species
644223	strain
317047	species
1580	species
2315439	species
42190	species
870730	species
871575	strain
36023	species
36024	species
1156966	species
53649	species
36026	species
50265	species
1378263	species
51923	species
4923	species
246385	species
310468	species
50267	species
1249076	species
264951	species
5076	species
69782	species
2822231	species
82310	species
4925	species
1156840	species
75736	species
29323	species
5087	species
5477	species
50262	species
246387	species
51926	species
51927	species
644223	strain
981350	strain
870730	species
5477	species
75736	species
409370	species
563466	species
4922	species
460523	species
4952	species
675824	strain
983967	strain
4955	species
4956	species
2028339	species
42258	species
44093	species
273372	species
2768839	species
2768841	species
561895	species
2822231	species
27305	species
559307	strain
294747	strain
4950	species
1108050	no rank
300826	species
284591	strain
4923	species
1156966	species
871575	strain
1382522	strain
1408163	strain
77044	species
1209068	species
34406	species
2060973	species
425011	strain
104355	species
6945	species
441959	strain
153609	species
